iter	Passed	Remaining
0	158	158027
1	160	80049
2	162	54061
3	164	41060
4	167	33249
5	169	28077
6	171	24339
7	173	21526
8	176	19413
9	178	17646
10	180	16226
11	182	15053
12	185	14046
13	187	13194
14	189	12415
15	191	11748
16	193	11181
17	195	10667
18	197	10200
19	199	9768
20	200	9360
21	201	8975
22	204	8668
23	205	8357
24	207	8101
25	208	7821
26	211	7610
27	213	7401
28	215	7213
29	217	7043
30	219	6870
31	221	6705
32	223	6563
33	225	6416
34	227	6272
35	229	6144
36	230	6010
37	232	5879
38	233	5755
39	235	5640
40	236	5526
41	237	5409
42	238	5300
43	239	5199
44	240	5103
45	241	5008
46	242	4915
47	243	4825
48	244	4738
49	245	4655
50	246	4580
51	247	4505
52	247	4430
53	248	4359
54	249	4289
55	250	4221
56	251	4155
57	252	4094
58	252	4034
59	253	3975
60	254	3917
61	255	3860
62	255	3805
63	256	3752
64	257	3701
65	258	3654
66	259	3607
67	259	3561
68	260	3514
69	261	3470
70	261	3427
71	262	3384
72	263	3343
73	264	3304
74	265	3268
75	265	3232
76	266	3198
77	267	3162
78	268	3129
79	269	3096
80	269	3063
81	270	3033
82	271	2999
83	272	2969
84	273	2939
85	273	2908
86	274	2879
87	275	2850
88	275	2822
89	276	2796
90	277	2774
91	278	2749
92	279	2723
93	279	2698
94	280	2674
95	281	2651
96	282	2627
97	283	2605
98	284	2585
99	284	2563
100	285	2542
101	286	2520
102	286	2499
103	287	2478
104	288	2457
105	289	2439
106	290	2420
107	290	2401
108	291	2382
109	292	2363
110	292	2345
111	293	2327
112	294	2309
113	295	2293
114	295	2277
115	296	2261
116	297	2243
117	297	2227
118	298	2211
119	299	2195
120	300	2179
121	300	2163
122	301	2148
123	302	2134
124	303	2121
125	303	2106
126	304	2091
127	305	2077
128	305	2064
129	306	2050
130	307	2037
131	308	2026
132	309	2018
133	310	2006
134	311	1994
135	312	1982
136	312	1969
137	313	1957
138	314	1946
139	315	1935
140	315	1924
141	316	1911
142	316	1899
143	317	1888
144	318	1877
145	319	1866
146	319	1855
147	320	1845
148	321	1836
149	322	1826
150	322	1816
151	323	1806
152	324	1796
153	325	1786
154	325	1776
155	326	1768
156	327	1760
157	328	1750
158	329	1741
159	329	1732
160	330	1722
161	331	1713
162	331	1704
163	332	1696
164	333	1689
165	334	1682
166	335	1673
167	336	1665
168	337	1657
169	337	1649
170	338	1641
171	339	1634
172	340	1626
173	341	1619
174	341	1611
175	342	1603
176	343	1596
177	344	1588
178	344	1582
179	345	1576
180	346	1569
181	347	1562
182	348	1555
183	349	1548
184	349	1541
185	350	1534
186	351	1527
187	352	1521
188	353	1515
189	354	1509
190	354	1503
191	355	1496
192	356	1489
193	356	1483
194	357	1477
195	358	1472
196	359	1466
197	360	1460
198	361	1453
199	361	1447
200	362	1441
201	363	1435
202	364	1430
203	365	1425
204	366	1419
205	366	1413
206	367	1407
207	368	1401
208	368	1395
209	369	1389
210	370	1384
211	371	1379
212	372	1374
213	372	1368
214	373	1363
215	374	1357
216	374	1352
217	375	1346
218	376	1342
219	377	1337
220	378	1333
221	378	1328
222	379	1322
223	380	1318
224	381	1312
225	382	1308
226	383	1305
227	384	1301
228	385	1297
229	386	1293
230	387	1288
231	388	1284
232	389	1281
233	390	1279
234	391	1275
235	392	1270
236	393	1266
237	394	1261
238	395	1257
239	396	1255
240	397	1251
241	398	1247
242	399	1242
243	399	1238
244	400	1234
245	401	1230
246	402	1227
247	403	1222
248	403	1218
249	404	1214
250	405	1210
251	406	1206
252	407	1203
253	408	1199
254	409	1195
255	410	1191
256	411	1188
257	411	1184
258	413	1181
259	414	1178
260	415	1175
261	415	1171
262	416	1167
263	417	1163
264	418	1159
265	418	1155
266	419	1152
267	420	1149
268	421	1146
269	422	1142
270	423	1138
271	424	1134
272	424	1131
273	425	1128
274	426	1125
275	427	1121
276	428	1118
277	429	1114
278	430	1111
279	430	1107
280	431	1104
281	432	1101
282	433	1098
283	434	1095
284	435	1092
285	436	1088
286	436	1085
287	437	1082
288	438	1079
289	439	1076
290	440	1073
291	448	1086
292	449	1084
293	451	1083
294	453	1083
295	454	1080
296	455	1077
297	455	1074
298	457	1072
299	459	1071
300	460	1068
301	461	1065
302	462	1062
303	463	1061
304	464	1059
305	465	1056
306	466	1053
307	467	1050
308	468	1047
309	469	1044
310	470	1041
311	470	1038
312	471	1035
313	472	1033
314	474	1031
315	476	1030
316	477	1029
317	478	1026
318	479	1024
319	481	1022
320	482	1020
321	483	1017
322	484	1014
323	485	1011
324	485	1009
325	486	1006
326	487	1004
327	489	1002
328	490	999
329	491	996
330	491	994
331	492	991
332	493	988
333	494	986
334	495	983
335	496	980
336	497	978
337	497	975
338	498	972
339	499	969
340	500	967
341	501	964
342	501	961
343	502	958
344	503	956
345	504	953
346	504	950
347	505	947
348	506	945
349	507	943
350	508	940
351	509	937
352	510	934
353	510	932
354	511	929
355	512	926
356	513	924
357	514	921
358	514	919
359	515	916
360	516	913
361	516	910
362	517	908
363	518	906
364	519	904
365	520	902
366	521	899
367	522	897
368	523	894
369	524	892
370	525	891
371	526	889
372	527	886
373	528	884
374	529	881
375	529	879
376	530	877
377	532	876
378	533	873
379	534	871
380	535	869
381	535	866
382	536	864
383	537	862
384	538	860
385	539	858
386	540	856
387	541	853
388	542	851
389	542	849
390	543	847
391	545	845
392	545	843
393	546	840
394	547	838
395	548	835
396	548	833
397	549	831
398	550	829
399	551	827
400	552	824
401	552	822
402	553	820
403	554	818
404	555	815
405	556	813
406	557	811
407	557	809
408	558	807
409	559	805
410	560	803
411	561	800
412	561	798
413	562	796
414	563	794
415	564	792
416	565	790
417	565	787
418	566	785
419	567	783
420	568	781
421	569	779
422	569	777
423	570	775
424	571	773
425	572	771
426	573	769
427	573	767
428	574	765
429	576	763
430	577	761
431	577	759
432	578	757
433	579	755
434	580	753
435	581	752
436	582	750
437	583	748
438	584	746
439	584	744
440	585	742
441	586	740
442	587	738
443	588	736
444	588	734
445	589	732
446	590	730
447	591	728
448	591	726
449	592	724
450	593	722
451	594	721
452	595	719
453	596	717
454	597	715
455	598	713
456	599	711
457	600	710
458	601	708
459	602	707
460	603	705
461	603	703
462	604	701
463	605	699
464	606	697
465	607	696
466	608	694
467	609	692
468	610	690
469	610	688
470	611	687
471	612	685
472	613	683
473	614	681
474	615	680
475	616	678
476	616	676
477	618	675
478	619	673
479	620	672
480	621	670
481	622	668
482	622	666
483	623	665
484	625	664
485	626	662
486	627	660
487	628	658
488	628	657
489	629	655
490	630	654
491	632	652
492	633	651
493	634	649
494	634	647
495	635	645
496	636	644
497	637	642
498	638	641
499	639	639
500	640	637
501	641	636
502	641	634
503	643	632
504	644	631
505	645	629
506	646	628
507	646	626
508	647	624
509	648	623
510	649	621
511	650	620
512	651	618
513	652	616
514	653	615
515	653	613
516	654	611
517	655	609
518	670	621
519	671	619
520	672	618
521	673	616
522	673	614
523	674	612
524	675	611
525	676	609
526	677	608
527	678	606
528	679	604
529	679	602
530	680	601
531	681	599
532	682	598
533	683	596
534	684	594
535	685	593
536	685	591
537	686	589
538	687	588
539	688	586
540	689	585
541	690	583
542	691	581
543	691	580
544	692	578
545	693	576
546	694	575
547	695	573
548	696	571
549	696	570
550	697	568
551	698	566
552	699	565
553	700	563
554	701	562
555	702	560
556	702	559
557	703	557
558	704	555
559	705	554
560	705	552
561	706	550
562	707	549
563	708	547
564	709	546
